SequenceID	ClusterID
seq_2080	272
seq_2083	193
seq_2095	273
seq_2099	274
seq_2105	275
seq_2108	276
seq_2121	277
seq_2127	278
seq_2128	279
seq_2137	280
seq_2151	190
seq_2162	281
seq_2172	75
seq_2176	282
seq_2177	283
seq_218	43
seq_2182	284
seq_2183	38
seq_2184	285
seq_2194	286
seq_2195	88
seq_2212	287
seq_2216	288
seq_2237	289
seq_2242	290
seq_2243	238
seq_2253	291
seq_2257	292
seq_2259	293
seq_226	44
seq_2263	117
seq_227	45
seq_2271	62
seq_2286	52
seq_23	1
seq_2301	294
seq_2302	295
seq_2312	105
seq_2315	296
seq_2327	269
seq_234	46
seq_235	47
seq_236	48
seq_2363	297
seq_2375	65
seq_2378	298
seq_2383	299
seq_2385	300
seq_2392	301
seq_24	2
seq_2401	302
seq_2413	303
seq_2436	273
seq_244	49
seq_2454	252
seq_2455	21
seq_2470	304
seq_2471	305
seq_2472	306
seq_249	50
seq_2490	116
seq_2497	17
seq_2511	307
seq_2533	308
seq_2540	309
seq_2547	310
seq_2551	6
seq_2558	311
seq_256	51
seq_2586	312
seq_259	52
seq_2606	313
seq_2607	314
seq_2609	315
seq_261	53
seq_2620	191
seq_2625	316
seq_2645	317
seq_2647	318
seq_266	54
seq_2675	108
seq_2676	319
seq_2677	320
seq_269	37
seq_2690	112
seq_270	37
seq_2704	48
seq_271	55
seq_2710	119
seq_272	56
seq_2720	321
seq_276	57
seq_2767	322
seq_277	58
seq_2770	323
seq_2772	324
seq_2775	37
seq_2780	325
seq_2798	326
seq_281	59
seq_2810	327
seq_2818	328
seq_282	60
seq_2820	151
seq_283	61
seq_2832	329
seq_2841	62
seq_2865	330
seq_2868	305
seq_2873	277
seq_2882	331
seq_289	62
seq_2892	332
seq_290	63
seq_2909	238
seq_2917	167
seq_2924	333
seq_2932	286
seq_2933	88
seq_2937	245
seq_294	64
seq_2944	258
seq_295	65
seq_2952	334
seq_2960	335
seq_2971	336
seq_2972	337
seq_2979	338
seq_2996	339
seq_3001	340
seq_3028	341
seq_3049	319
seq_3051	342
seq_3052	82
seq_3056	343
seq_3063	222
seq_3066	344
seq_3068	345
seq_3070	346
seq_3074	347
seq_308	66
seq_3089	348
seq_3090	349
seq_3091	350
seq_3093	351
seq_3096	211
seq_3097	352
seq_3124	290
seq_3128	116
seq_3134	353
seq_3135	354
seq_3164	298
seq_3165	355
seq_3173	356
seq_3174	211
seq_3182	164
seq_3183	357
seq_3188	358
seq_3189	108
seq_3192	340
seq_3198	109
seq_32	3
seq_320	67
seq_3200	350
seq_3206	359
seq_3208	211
seq_3231	120
seq_3233	219
seq_3235	360
seq_324	12
seq_3253	361
seq_328	68
seq_3301	86
seq_3302	362
seq_3313	363
seq_3338	364
seq_3351	365
seq_337	69
seq_3374	148
seq_3379	366
seq_3381	240
seq_3389	367
seq_339	70
seq_3401	368
seq_342	71
seq_343	72
seq_344	69
seq_3451	369
seq_3457	246
seq_3481	370
seq_349	73
seq_3492	247
seq_3508	371
seq_3512	372
seq_3517	373
seq_3557	374
seq_356	74
seq_3566	83
seq_3574	105
seq_3583	375
seq_3612	376
seq_362	75
seq_3629	377
seq_364	76
seq_3662	24
seq_3664	378
seq_3675	252
seq_3679	46
seq_368	77
seq_3681	323
seq_369	78
seq_372	79
seq_3724	379
seq_3728	380
seq_374	80
seq_3741	102
seq_3753	381
seq_3756	382
seq_376	81
seq_3771	48
seq_3773	383
seq_3784	384
seq_379	82
seq_3796	385
seq_3809	386
seq_3811	387
seq_3826	75
seq_3840	388
seq_3842	125
seq_3851	326
seq_386	83
seq_3872	389
seq_3881	390
seq_3890	391
seq_3916	392
seq_3927	393
seq_3938	394
seq_394	84
seq_3948	43
seq_3972	13
seq_398	85
seq_3982	395
seq_3996	396
seq_4003	397
seq_4009	376
seq_402	86
seq_4030	398
seq_4064	399
seq_4070	400
seq_41	4
seq_410	87
seq_4105	228
seq_411	88
seq_412	89
seq_4126	191
seq_4128	17
seq_4159	401
seq_4167	294
seq_417	90
seq_4179	402
seq_4184	403
seq_4194	404
seq_421	17
seq_4218	405
seq_422	54
seq_4222	406
seq_4232	231
seq_4235	407
seq_4237	408
seq_4245	247
seq_4258	409
seq_428	91
seq_4291	263
seq_4292	410
seq_4312	411
seq_4313	273
seq_4319	156
seq_4341	412
seq_435	92
seq_4377	413
seq_438	93
seq_4399	414
seq_4420	299
seq_4427	201
seq_4439	415
seq_4444	416
seq_4449	194
seq_4469	417
seq_447	94
seq_4485	418
seq_4506	187
seq_453	95
seq_4540	419
seq_4543	328
seq_4544	420
seq_4570	196
seq_4573	179
seq_4577	421
seq_458	96
seq_4592	422
seq_4599	423
seq_4605	424
seq_4608	425
seq_4612	156
seq_4616	426
seq_462	97
seq_4623	427
seq_4627	42
seq_4654	428
seq_4656	283
seq_4660	429
seq_4669	430
seq_4685	271
seq_4707	431
seq_4722	432
seq_4724	433
seq_473	98
seq_4737	434
seq_4740	435
seq_4741	436
seq_4753	437
seq_4765	123
seq_4770	296
seq_478	99
seq_4783	255
seq_4785	438
seq_4803	439
seq_4812	440
seq_483	100
seq_4836	441
seq_4837	442
seq_485	101
seq_4873	443
seq_4877	444
seq_4889	445
seq_4895	446
seq_491	83
seq_492	102
seq_4924	447
seq_4927	448
seq_4930	449
seq_4940	450
seq_4958	451
seq_5005	422
seq_5012	271
seq_5029	452
seq_5030	279
seq_5037	420
seq_5044	335
seq_5076	453
seq_508	103
seq_5094	438
seq_5095	454
seq_510	74
seq_5102	455
seq_5131	303
seq_5144	412
seq_5159	2
seq_5166	10
seq_5178	456
seq_5187	180
seq_5191	457
seq_5202	458
seq_5214	459
seq_5225	460
seq_524	104
seq_527	105
seq_5281	461
seq_5284	462
seq_5286	463
seq_5305	464
seq_5309	329
seq_5337	465
seq_5347	466
seq_5349	200
seq_5350	467
seq_5365	81
seq_5373	468
seq_538	106
seq_5383	469
seq_5423	470
seq_5427	471
seq_5428	111
seq_5431	472
seq_5451	473
seq_5453	474
seq_5458	475
seq_546	107
seq_5460	108
seq_5468	319
seq_5476	476
seq_5477	477
seq_5483	124
seq_549	108
seq_5491	278
seq_5493	478
seq_550	109
seq_5502	462
seq_5509	479
seq_5510	480
seq_5516	481
seq_552	110
seq_5527	482
seq_555	64
seq_5575	58
seq_5577	242
seq_558	111
seq_561	112
seq_562	113
seq_5625	483
seq_5633	484
seq_5636	485
seq_5658	486
seq_566	114
seq_5661	487
seq_5678	172
seq_5684	488
seq_5697	489
seq_5698	196
seq_572	57
seq_5721	490
seq_5731	73
seq_574	0
seq_5750	280
seq_5755	491
seq_5759	492
seq_5767	493
seq_5769	494
seq_5777	495
seq_5791	83
seq_5796	496
seq_5804	497
