SequenceID	ClusterID
seq_10673	1371
seq_10674	4098
seq_10675	35
seq_10676	1302
seq_10677	2959
seq_10678	3040
seq_10679	1372
seq_1068	812
seq_10680	4982
seq_10681	4983
seq_10682	4984
seq_10683	4985
seq_10684	2445
seq_10685	536
seq_10686	2976
seq_10687	4099
seq_10688	3051
seq_10689	4986
seq_1069	813
seq_10690	112
seq_10691	2981
seq_10692	1423
seq_10693	1974
seq_10694	4987
seq_10695	4988
seq_10696	2547
seq_10697	540
seq_10698	4989
seq_10699	4990
seq_107	69
seq_1070	814
seq_10700	4990
seq_10701	3666
seq_10702	4101
seq_10703	4102
seq_10704	4991
seq_10705	1081
seq_10706	3594
seq_10707	3060
seq_10708	2715
seq_10709	542
seq_1071	815
seq_10710	253
seq_10711	3063
seq_10712	3066
seq_10713	2985
seq_10714	4992
seq_10715	1391
seq_10716	1082
seq_10717	4972
seq_10718	1327
seq_10719	2953
seq_1072	581
seq_10720	4993
seq_10721	1859
seq_10722	3077
seq_10723	4994
seq_10724	4994
seq_10725	3080
seq_10726	2990
seq_10727	1399
seq_10728	4995
seq_10729	4580
seq_1073	816
seq_10730	1770
seq_10731	1770
seq_10732	187
seq_10733	4996
seq_10734	3504
seq_10735	1407
seq_10736	1407
seq_10737	4973
seq_10738	3091
seq_10739	1307
seq_1074	817
seq_10740	1408
seq_10741	1402
seq_10742	4581
seq_10743	4997
seq_10744	3527
seq_10745	2696
seq_10746	4998
seq_10747	2160
seq_10748	1774
seq_10749	522
seq_1075	818
seq_10750	1308
seq_10751	4999
seq_10752	5000
seq_10753	5001
seq_10754	5002
seq_10755	2446
seq_10756	2961
seq_10757	3598
seq_10758	912
seq_10759	3107
seq_1076	819
seq_10760	3107
seq_10761	5003
seq_10762	4999
seq_10763	14
seq_10764	1418
seq_10765	2963
seq_10766	5004
seq_10767	3568
seq_10768	3108
seq_10769	1756
seq_1077	820
seq_10770	4103
seq_10771	32
seq_10772	2993
seq_10773	1775
seq_10774	1775
seq_10775	5005
seq_10776	5005
seq_10777	2163
seq_10778	3601
seq_10779	2165
seq_1078	821
seq_10780	30
seq_10781	5006
seq_10782	5007
seq_10783	515
seq_10784	2167
seq_10785	1428
seq_10786	5008
seq_10787	4749
seq_10788	2168
seq_10789	5009
seq_1079	822
seq_10790	3602
seq_10791	4105
seq_10792	5010
seq_10793	563
seq_10794	3603
seq_10795	5011
seq_10796	5012
seq_10797	3604
seq_10798	5013
seq_10799	1432
seq_108	70
seq_1080	823
seq_10800	5014
seq_10801	4106
seq_10802	5015
seq_10803	5016
seq_10804	5017
seq_10805	5018
seq_10806	47
seq_10807	5019
seq_10808	3150
seq_10809	5019
seq_1081	314
seq_10810	5020
seq_10811	726
seq_10812	69
seq_10813	5021
seq_10814	954
seq_10815	3166
seq_10816	5022
seq_10817	604
seq_10818	788
seq_10819	1311
seq_1082	824
seq_10820	1312
seq_10821	421
seq_10822	4582
seq_10823	3005
seq_10824	3183
seq_10825	797
seq_10826	2954
seq_10827	5023
seq_10828	1313
seq_10829	728
seq_1083	825
seq_10830	1346
seq_10831	2968
seq_10832	284
seq_10833	1301
seq_10834	1083
seq_10835	2969
seq_10836	1469
seq_10837	1469
seq_10838	3197
seq_10839	3606
seq_1084	826
seq_10840	3200
seq_10841	3844
seq_10842	422
seq_10843	5024
seq_10844	5025
seq_10845	3203
seq_10846	1474
seq_10847	1314
seq_10848	5026
seq_10849	911
seq_1085	827
seq_10850	2716
seq_10851	2171
seq_10852	3210
seq_10853	1486
seq_10854	1136
seq_10855	3094
seq_10856	2971
seq_10857	3608
seq_10858	5027
seq_10859	341
seq_1086	828
seq_10860	30
seq_10861	341
seq_10862	5028
seq_10863	723
seq_10864	5029
seq_10865	592
seq_10866	592
seq_10867	727
seq_10868	1496
seq_10869	111
seq_1087	829
seq_10870	1498
seq_10871	3219
seq_10872	5030
seq_10873	4979
seq_10874	914
seq_10875	557
seq_10876	5031
seq_10877	5032
seq_10878	4980
seq_10879	5033
seq_1088	524
seq_10880	317
seq_10881	1512
seq_10882	2156
seq_10883	5034
seq_10884	3009
seq_10885	2956
seq_10886	5035
seq_10887	4074
seq_10888	5036
seq_10889	3241
seq_1089	830
seq_10890	4083
seq_10891	2550
seq_10892	1520
seq_10893	3244
seq_10894	1316
seq_10895	1316
seq_10896	512
seq_10897	2158
seq_10898	5037
seq_10899	2551
seq_109	42
seq_1090	831
seq_10900	604
seq_10901	4117
seq_10902	3314
seq_10903	2179
seq_10904	5038
seq_10905	1524
seq_10906	78
seq_10907	5039
seq_10908	2335
seq_10909	5040
seq_1091	832
seq_10910	529
seq_10911	529
seq_10912	1367
seq_10913	3268
seq_10914	730
seq_10915	3280
seq_10916	3117
seq_10917	1534
seq_10918	916
seq_10919	5041
seq_1092	833
seq_10920	1652
seq_10921	5042
seq_10922	530
seq_10923	1369
seq_10924	730
seq_10925	4176
seq_10926	5043
seq_10927	1539
seq_10928	2173
seq_10929	35
seq_1093	834
seq_10930	77
seq_10931	35
seq_10932	35
seq_10933	1541
seq_10934	5044
seq_10935	5045
seq_10936	5046
seq_10937	1548
seq_10938	953
seq_10939	1549
seq_1094	835
seq_10940	4201
seq_10941	5047
seq_10942	5048
seq_10943	2959
seq_10944	4110
